Year,IPSL_IPSL-CM5A2-INCA_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,INM_INM-CM5-0_r1i1p1f1,AWI_AWI-CM-1-1-MR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,KIOST_KIOST-ESM_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,MOHC_HadGEM3-GC31-MM_r1i1p1f3,MOHC_HadGEM3-GC31-LL_r1i1p1f3,NCC_NorESM2-MM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CAS_FGOALS-g3_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,INM_INM-CM4-8_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,MIROC_MIROC6_r1i1p1f1
1938,-0.25449,0.03598,-0.09323,-0.12056,0.13029,-0.03929,-0.34913,-0.28331,-0.03555,0.10024,0.08031,-0.07563,-0.09117,-0.20621,-0.30652,0.01677,-0.32338,-0.15264,-0.10068,-0.04763,0.08146,0.10003
1939,-0.43042,0.11232,-0.07902,-0.22855,0.06461,0.14074,-0.22117,-0.14695,0.01360,0.11384,0.15977,-0.38582,-0.09197,-0.35461,-0.14337,0.07579,-0.27687,-0.11995,-0.19857,-0.04432,0.14322,-0.15304
1940,-0.21884,0.25494,-0.02056,-0.19486,-0.01056,0.03819,0.02410,-0.19736,-0.00440,0.15109,0.24676,-0.12595,-0.10400,-0.41786,-0.08534,0.05785,-0.29552,-0.09161,-0.01553,-0.15067,0.16855,-0.15694
1941,-0.37689,0.11699,-0.00353,-0.23823,0.02655,0.11443,-0.20037,-0.25919,-0.10775,0.27526,0.17181,-0.14095,0.02935,-0.27707,-0.11885,0.19918,-0.30673,0.03080,-0.01325,-0.16020,-0.03982,-0.09031
1942,-0.50918,-0.08105,0.04945,-0.44592,-0.07634,0.27875,-0.19142,-0.23432,-0.14763,0.08328,0.15538,-0.13582,-0.01063,-0.02343,-0.37539,0.10631,-0.11692,0.00256,0.11208,-0.42702,-0.02963,0.01445
1943,-0.30416,-0.21235,-0.14903,-0.15374,-0.05879,0.08251,-0.12687,-0.25765,-0.02962,-0.07762,0.03097,-0.29222,-0.12680,-0.07447,-0.35795,0.04503,-0.21772,0.01070,0.15891,-0.23292,0.09082,0.18813
1944,-0.34320,0.14733,-0.13607,-0.00539,0.07865,0.21821,-0.26961,-0.26932,0.05963,0.00496,-0.01809,-0.14578,0.03687,-0.21428,-0.32047,0.13714,-0.37774,-0.01717,-0.08289,-0.24402,0.01912,0.30842
1945,-0.18487,0.22776,-0.05268,-0.04387,0.00335,0.07016,-0.13747,-0.25825,-0.01696,-0.06006,0.05965,-0.23859,-0.07327,-0.20854,-0.40603,0.19199,-0.13159,-0.07805,-0.03367,-0.18743,-0.19771,0.17027
1946,-0.20096,-0.02534,0.03706,-0.18359,0.15558,0.14106,-0.16824,-0.27222,0.11110,0.06613,-0.00383,-0.17287,-0.08796,-0.27999,-0.22764,0.09341,-0.11197,-0.13320,0.12342,-0.26296,-0.11088,-0.13633
1947,-0.17607,-0.15740,0.02419,-0.22484,0.14717,0.24596,-0.14995,-0.20137,0.18262,0.11704,-0.01565,-0.13828,-0.01144,-0.18468,-0.13931,-0.02302,-0.40029,0.00351,0.06928,-0.43756,0.08696,-0.11592
1948,-0.17720,-0.08146,0.01198,-0.04078,0.22676,0.20762,-0.05990,-0.12850,-0.02059,0.02485,0.19977,-0.20277,-0.03290,-0.08806,-0.22590,-0.02275,-0.31580,0.02049,-0.14367,-0.05890,-0.00350,-0.00202
1949,-0.28214,0.06681,0.01098,-0.27350,0.20760,0.00672,-0.15206,-0.14033,0.10202,0.15935,0.17772,-0.23433,-0.02072,-0.15807,-0.16676,0.06999,-0.10421,0.03935,-0.13805,-0.05275,-0.05372,-0.00541
1950,-0.21257,0.19166,0.07827,-0.22175,0.19338,-0.03345,-0.17623,-0.11702,-0.11395,-0.02302,0.23968,-0.19975,0.14203,-0.29306,-0.33826,-0.11076,-0.07291,0.01798,-0.06965,-0.28069,0.03798,-0.00579
1951,-0.16320,-0.12306,0.01561,-0.17979,0.11731,-0.02047,-0.21662,-0.12337,-0.09397,-0.00866,0.32469,-0.28239,0.02616,-0.13852,-0.36471,-0.00486,-0.16231,-0.03916,0.11717,-0.12253,-0.05722,-0.04614
1952,-0.03023,-0.12371,-0.07369,-0.19990,-0.01398,0.06295,-0.38623,-0.18521,0.03211,0.11319,0.14883,-0.32984,-0.08754,0.00762,-0.23469,0.04962,-0.17552,-0.02943,0.17558,-0.26464,-0.03638,-0.07183
1953,-0.06339,0.08719,-0.16967,-0.07581,-0.10977,0.10070,-0.21026,-0.16096,-0.02962,0.28311,0.12134,-0.18454,-0.07510,-0.11027,-0.19378,0.04062,-0.31448,-0.05845,0.01218,-0.03663,0.07931,-0.16437
1954,-0.19246,-0.07526,-0.01865,0.06210,0.00488,0.38281,-0.15484,-0.14010,-0.10812,0.12396,0.20872,-0.18350,0.05178,-0.22680,-0.26082,-0.03131,-0.28104,-0.00212,-0.05676,0.06643,0.07786,-0.12323
1955,-0.23453,-0.07285,0.11792,-0.09517,0.15714,0.20046,-0.13196,-0.06380,0.03111,-0.00789,0.03496,-0.07766,-0.07438,-0.09979,-0.20225,0.00936,-0.25676,0.04018,-0.16494,0.05186,0.01503,0.04595
1956,-0.14153,0.17769,0.12749,-0.13324,-0.02596,0.27322,-0.28787,-0.19027,0.19523,0.16359,-0.07104,-0.31028,0.11232,-0.05917,-0.28630,-0.09391,-0.32601,0.00925,-0.19372,-0.13260,-0.04388,0.16146
1957,-0.11012,0.10549,0.08895,-0.14568,0.05625,0.22001,-0.18916,-0.14653,0.25221,0.18438,-0.14440,-0.09375,0.05436,0.04459,-0.15886,0.01959,-0.21703,0.01279,-0.16293,0.03547,0.00002,0.16925
1958,-0.01708,-0.08253,0.11547,-0.21192,0.14222,0.32132,-0.16051,-0.07552,0.26807,0.10068,-0.06242,-0.04194,0.02730,0.07150,-0.14798,-0.01117,-0.14276,-0.02808,-0.17621,0.10218,0.12437,0.04417
1959,-0.26682,-0.04256,0.10587,-0.12463,0.07468,0.17369,-0.21862,0.01657,0.05537,0.11398,0.14752,-0.17353,0.18488,-0.17036,-0.29738,0.07846,-0.30937,0.08334,-0.08936,-0.08973,0.18246,-0.08835
1960,-0.26598,0.17313,-0.05552,-0.14830,0.07461,0.19299,-0.03629,0.01817,-0.10850,0.16520,0.21828,-0.08667,0.07751,-0.07697,-0.32456,0.14241,-0.19250,0.10556,0.09715,-0.07598,0.06967,-0.11074
1961,-0.27200,0.28944,0.02405,0.01085,-0.05946,0.09801,-0.06842,-0.05372,-0.01301,0.14194,0.34700,-0.00953,0.04187,-0.06886,-0.15768,0.09826,-0.13047,0.11585,0.16744,0.02729,-0.00267,-0.09717
1962,-0.09136,-0.12550,0.04621,0.06398,-0.01375,0.24948,-0.38102,-0.10129,0.03289,0.02912,0.34170,-0.05546,0.06344,0.15610,-0.05610,0.02216,-0.16177,0.04291,-0.08751,-0.07625,0.01926,0.18321
1963,-0.10552,-0.32390,0.05105,-0.01924,-0.09302,0.01060,-0.09738,-0.10040,-0.18100,-0.18325,0.05540,-0.23301,-0.07040,-0.03735,-0.20077,-0.18271,-0.29129,-0.17460,-0.26637,-0.25628,-0.11690,0.23727
1964,-0.29898,-0.36567,-0.07715,-0.11673,-0.07689,-0.26782,-0.36544,-0.06603,-0.18273,-0.21054,-0.15264,-0.19345,-0.21158,-0.15125,-0.41675,-0.26059,-0.12237,-0.17511,-0.32000,-0.43295,-0.41432,-0.23815
1965,-0.19293,-0.16477,-0.04779,-0.11458,-0.13076,-0.08033,-0.63260,-0.10058,-0.14400,-0.25219,-0.26492,-0.28399,-0.09576,-0.10730,-0.41967,-0.26564,-0.18020,-0.11678,-0.21113,-0.20298,-0.31424,-0.35698
1966,-0.12371,0.05900,-0.01907,-0.14986,-0.09177,0.01972,-0.28618,-0.00994,-0.20880,-0.19200,-0.33935,-0.02922,-0.06301,-0.09803,-0.23980,-0.27828,-0.25491,-0.12569,-0.10586,-0.23030,-0.08446,-0.28283
1967,-0.06958,-0.19764,-0.07303,-0.25731,-0.06313,-0.14676,-0.09109,0.00238,-0.15962,-0.12825,-0.49124,0.14168,-0.20300,-0.08051,-0.01498,-0.19214,-0.35217,0.01418,-0.03037,-0.08555,-0.01172,-0.07606
1968,-0.10850,-0.25788,-0.09783,0.00206,-0.10009,-0.29204,-0.23056,-0.02455,-0.04048,0.01023,-0.31540,-0.14598,-0.12895,-0.07579,0.02288,-0.01855,-0.12302,-0.00227,0.00268,0.01110,-0.02206,0.14187
1969,-0.04468,-0.06516,-0.12656,0.14100,-0.16140,-0.22932,-0.24008,0.00867,-0.05834,0.08198,-0.35040,0.06791,-0.04931,0.00101,-0.29680,-0.01561,0.03063,-0.03639,-0.08557,-0.03505,-0.04509,-0.21942
1970,0.03882,0.09473,-0.10544,0.06567,-0.07684,-0.08049,-0.17288,-0.02997,-0.08825,-0.07065,-0.29480,-0.13042,-0.15166,-0.19359,-0.44684,-0.08105,-0.11992,-0.04017,-0.18200,0.06044,-0.10538,-0.19368
1971,-0.16985,-0.14861,-0.12200,-0.20057,-0.02414,-0.17230,-0.06048,-0.04293,-0.16224,0.00041,-0.29409,0.02582,-0.06007,-0.15832,-0.38941,-0.11153,0.00739,0.01853,-0.17433,0.10013,-0.08428,-0.10714
1972,-0.26448,-0.16584,-0.09787,-0.12900,-0.10188,-0.16035,-0.00500,0.02099,-0.02901,0.10327,-0.06392,-0.09350,0.04200,-0.02021,-0.04133,-0.01792,-0.08016,-0.16722,-0.14056,-0.02456,0.10838,-0.18223
1973,-0.20918,-0.01607,-0.02274,-0.18373,-0.10398,-0.16165,0.00140,-0.04428,0.04673,0.11589,-0.02726,0.03193,0.05169,0.13172,0.19441,0.11910,-0.17269,-0.17903,0.01030,-0.08330,0.14817,-0.07330
1974,-0.08280,0.02639,-0.07682,-0.04655,0.09890,-0.18471,-0.01309,0.07008,0.10444,0.01420,0.10059,-0.03992,0.06117,-0.11978,0.11321,-0.07131,-0.02376,-0.12757,0.01630,-0.03184,0.00806,-0.00665
1975,-0.00166,0.16164,-0.01466,-0.20102,0.04429,-0.03754,0.07964,0.06548,-0.11579,-0.03370,0.13477,-0.17510,-0.14142,-0.14647,-0.04305,-0.08869,0.02222,0.01369,-0.19242,-0.15527,-0.15184,0.10352
1976,-0.11670,0.05461,0.00099,-0.02342,-0.20403,-0.01499,0.07543,-0.00677,-0.02122,-0.15432,0.04586,-0.12882,0.04921,0.01266,0.01366,0.00469,-0.15299,-0.01676,-0.27928,0.03508,0.00187,-0.08736
1977,-0.11806,-0.17248,0.10308,0.07800,-0.11915,-0.06636,0.05335,0.04009,0.08186,0.01766,0.14919,-0.10807,-0.02121,0.00290,0.01511,0.02051,-0.05615,-0.02893,-0.13538,-0.18454,0.12524,-0.06166
1978,-0.10205,-0.08772,0.12707,-0.16461,0.03582,0.04418,0.08810,0.04440,0.19563,-0.05190,0.24879,-0.02506,-0.07378,-0.03930,0.03522,0.01216,-0.04376,-0.02660,-0.09922,-0.09959,0.04149,0.20455
1979,0.05675,-0.00020,0.15566,0.07803,-0.00328,-0.03744,0.17674,-0.04063,0.15879,0.00639,0.32623,0.03710,-0.09066,0.03401,0.19740,0.15195,-0.05022,0.10870,0.03806,0.04302,-0.01199,0.10266
1980,0.34910,0.18118,0.15494,0.00800,-0.00760,-0.08033,0.03879,0.04763,0.27434,0.02610,0.12644,0.04049,0.19211,0.18773,0.13747,0.00859,0.31058,0.08147,0.22035,-0.02424,-0.05938,-0.09535
1981,0.11432,0.27466,0.06944,0.08680,0.09675,0.03437,0.16377,0.06621,0.08457,-0.09715,0.12372,0.05097,0.13421,0.08610,0.04016,0.07912,0.23594,0.06077,0.15482,0.02056,0.11002,-0.08875
1982,0.24051,-0.06731,0.09211,-0.02059,0.20627,0.07395,0.14504,0.15020,-0.07051,0.00292,0.02669,-0.03922,0.05503,-0.18447,0.19005,0.03139,0.11693,0.06872,0.08857,0.01188,0.19872,0.15418
1983,0.17781,-0.15270,-0.22543,-0.01029,0.00900,0.08284,0.02942,-0.11743,-0.16329,-0.09458,-0.14537,-0.15708,-0.08273,-0.33387,0.29575,-0.05508,0.00520,-0.31862,-0.02165,0.04807,-0.05724,0.11561
1984,0.21400,0.00447,-0.17082,0.00616,-0.09000,0.07822,-0.05204,-0.07891,0.03612,0.09003,-0.15210,0.03054,-0.04182,-0.17406,0.19098,0.07128,-0.04406,-0.04103,0.22996,0.20109,-0.14520,0.30919
1985,0.09075,0.30955,-0.05090,0.05907,0.31502,-0.00251,0.13368,0.04491,0.00390,0.01014,0.03701,0.12496,-0.02429,-0.26956,0.11722,0.16956,0.18309,0.07305,0.29217,0.05114,-0.06160,0.12677
1986,0.02267,0.31427,0.01624,0.10168,0.16112,0.18307,0.13756,-0.06804,0.08153,0.07441,-0.00362,0.24281,-0.08025,0.03440,0.14623,0.29524,0.16483,0.10245,0.24245,0.19342,0.10356,-0.04751
1987,0.14733,0.01423,-0.02843,0.20529,0.12572,0.17967,0.29238,0.02204,0.11096,0.08280,-0.15798,0.18437,0.17868,0.27778,0.18072,0.02790,0.37747,0.07498,0.12783,0.27717,0.12915,0.10027
1988,0.15876,0.03250,0.09475,0.07557,0.19055,0.16599,0.48363,0.07336,0.10096,0.07065,-0.01669,0.26189,0.22400,0.48771,0.18574,0.03124,0.31333,0.15436,0.10187,0.26279,0.06994,0.13827
1989,0.42047,0.16148,0.21303,0.30929,0.07806,0.32548,0.35077,0.10895,0.22955,0.23710,0.23100,0.28354,0.17826,0.63257,0.29915,0.19778,0.22031,0.24143,0.24812,0.26146,0.18121,0.10414
1990,0.34076,0.33332,0.20792,0.34605,0.15965,0.46936,0.44656,0.12011,0.09601,0.35330,0.77538,0.32381,0.31822,0.21404,0.34781,0.29817,0.37199,0.40569,0.39070,0.31808,0.44332,0.19273
1991,0.06544,0.49716,0.34497,0.17805,0.21895,0.26772,0.54935,0.11353,0.01299,0.37136,0.48070,0.27003,0.39950,0.12651,0.22519,0.23565,0.32900,0.33412,0.34378,0.34718,0.44239,0.09692
1992,0.19546,-0.15696,-0.04409,0.01744,-0.09035,0.02021,-0.08156,0.02670,-0.07498,0.14915,0.08241,0.24156,-0.13090,0.03354,0.03310,-0.14153,0.23282,-0.06094,0.11544,0.08271,-0.21865,-0.04965
1993,0.15311,-0.24114,-0.15105,0.02104,0.09551,0.22822,0.20806,0.03025,-0.15567,0.06645,0.18375,0.10378,0.01010,0.07806,-0.03014,-0.03043,0.34772,-0.13541,0.24381,0.19581,-0.14183,0.14176
1994,0.19187,-0.01933,0.06309,0.26323,0.21864,0.37383,0.09871,0.17377,-0.08238,0.08750,0.45195,0.08891,0.23727,0.14219,-0.08933,0.10398,0.27235,0.09322,0.22590,0.13456,0.10572,0.26809
1995,0.46315,0.20875,0.16107,0.38922,0.18993,0.36591,0.29028,0.15652,0.00178,0.20051,0.42029,0.21677,0.13712,0.35303,-0.05189,0.14443,0.46787,0.20433,0.10752,0.17006,0.08948,-0.01409
1996,0.38970,0.33599,0.28201,0.50075,0.12091,0.51674,0.37833,0.22824,0.09962,0.29221,0.48540,0.23751,0.32220,0.44364,0.12484,0.32944,0.30312,0.29857,0.40431,0.24036,0.17254,-0.08348
1997,0.52115,0.44307,0.31455,0.27136,0.27530,0.59689,0.29608,0.24451,0.21141,0.35562,0.37370,0.39092,0.49638,0.37044,0.36203,0.19477,0.38083,0.38945,0.53541,0.15191,0.25271,0.06386
1998,0.34480,0.06842,0.37586,0.41733,0.46916,0.77266,0.43438,0.22505,0.19922,0.36578,0.06673,0.27942,0.38677,0.27023,0.44650,0.25217,0.46949,0.37260,0.50619,0.18714,0.30713,0.09486
1999,0.60677,0.06679,0.40115,0.37745,0.36872,0.72524,0.43827,0.32324,0.26257,0.36329,-0.07990,0.38620,0.49221,0.36120,0.37770,0.36405,0.44609,0.44515,0.49257,0.34295,0.34781,0.48513
2000,0.63817,0.24659,0.42221,0.60635,0.51296,0.80648,0.48651,0.22086,0.40782,0.48790,-0.05068,0.45942,0.54645,0.45504,0.36980,0.51947,0.57773,0.49661,0.45698,0.37358,0.46080,0.39279
2001,0.35159,0.45893,0.44276,0.62283,0.50051,0.82558,0.57439,0.31522,0.51774,0.72406,0.26054,0.47298,0.51506,0.35890,0.73128,0.40621,0.72642,0.48497,0.48162,0.56908,0.58221,0.31276
2002,0.66160,0.39639,0.54268,0.59446,0.37724,0.95039,0.42136,0.34504,0.61372,0.75724,0.40775,0.36365,0.72048,0.26542,0.68391,0.39815,0.40713,0.34002,0.51598,0.43178,0.53217,0.27325
2003,0.51847,0.38919,0.58001,0.70907,0.50132,0.83226,0.65767,0.41150,0.51926,0.72463,0.60055,0.56538,0.66035,0.36292,0.48841,0.57400,0.54731,0.48691,0.65828,0.53222,0.46516,0.46062
2004,0.54528,0.65062,0.56089,0.73134,0.57265,0.83221,0.69636,0.36800,0.60016,0.82497,0.82594,0.66460,0.74348,0.36195,0.42826,0.41608,0.50015,0.58776,0.60512,0.46764,0.54828,0.62198
2005,0.60179,0.66921,0.55677,0.58012,0.72949,0.88399,0.71364,0.45945,0.62568,0.83193,0.88305,0.54742,0.73761,0.65138,0.44966,0.50484,0.40326,0.52914,0.49084,0.50207,0.48703,0.41777
2006,0.76562,0.28759,0.57704,0.66676,0.65327,0.81893,0.60472,0.39915,0.77455,1.01571,0.60171,0.52534,0.74326,0.66970,0.67448,0.51128,0.57750,0.49210,0.50519,0.45236,0.39996,0.29964
2007,0.71166,0.26098,0.55577,0.82908,0.61098,0.89721,0.58747,0.57648,0.61185,0.89722,0.37526,0.68906,0.72304,0.41267,0.78262,0.35589,0.72859,0.47642,0.59093,0.50628,0.45316,0.37487
2008,0.78824,0.43648,0.52979,0.82734,0.71640,1.00635,0.84187,0.54709,0.68187,0.84872,0.30679,0.73802,0.69289,0.49862,0.89527,0.52334,0.56863,0.50024,0.73103,0.24457,0.53725,0.67615
2009,0.99616,0.54168,0.54828,0.87028,0.59870,1.03131,0.83852,0.56042,0.63731,0.88438,0.46887,0.62390,0.78113,0.91266,0.66170,0.45597,0.56729,0.57676,0.59511,0.36601,0.63856,0.70358
2010,0.81894,0.78416,0.49655,0.88878,0.50407,1.07585,0.75624,0.59986,0.53451,1.07453,0.48685,0.74195,0.70687,0.96318,0.62605,0.63656,0.70079,0.65270,0.61275,0.54141,0.54375,0.38751
2011,0.83007,0.56207,0.45980,0.68917,0.54257,1.13719,0.92494,0.54175,0.71194,1.23573,0.44977,0.74108,0.78090,0.58813,0.77610,0.75797,0.59356,0.59040,0.68674,0.59902,0.56270,0.37540
2012,1.00113,0.49444,0.50225,0.80226,0.67040,1.09088,1.00619,0.63311,1.01020,1.15096,0.55946,0.75524,0.80977,0.83195,0.87131,0.89452,0.84787,0.59003,0.63383,0.61332,0.73617,0.49131
2013,1.12561,0.58515,0.53550,0.77197,0.71234,1.17056,0.96202,0.61274,0.86625,1.13949,0.78315,0.76439,0.68895,0.80392,0.71029,0.61306,0.72761,0.66107,0.54878,0.49276,0.84225,0.84448
2014,0.89252,0.73093,0.55048,0.80002,0.71488,1.22818,1.01357,0.66557,0.82016,1.25842,0.94026,0.64958,0.82065,0.68026,0.62873,0.83155,0.64008,0.58806,0.61176,0.55808,0.57403,0.72583
2015,0.80429,0.95667,0.61629,0.84254,0.89121,1.26644,0.97377,0.77875,0.79996,1.31731,1.10470,0.81515,0.92203,0.67378,0.54270,0.90938,0.81467,0.54874,0.69407,0.67467,0.64094,0.32094
2016,0.90392,0.49189,0.66456,0.86588,0.93467,1.28495,0.92065,0.83468,0.94822,1.35895,0.82524,0.82643,0.92802,0.78284,0.59289,1.00351,0.98835,0.63772,0.62080,0.75531,0.70650,0.26522
2017,1.08412,0.53482,0.63840,0.87424,0.82003,1.36001,0.92270,0.76330,0.99456,1.38794,0.83415,0.87338,0.84542,1.00117,0.70490,0.93088,0.69662,0.66404,0.69633,0.84732,0.87917,0.36433
2018,1.07835,0.71276,0.68431,0.98248,0.91188,1.46692,0.90520,0.81429,0.89994,1.61810,0.81567,0.91961,0.85756,1.08587,0.74837,0.91659,0.85559,0.66742,0.62413,0.81348,0.68931,0.56858
2019,1.04903,1.07932,0.76471,1.03028,1.14214,1.61645,0.93561,0.86746,0.91200,1.45840,0.85473,0.86416,0.97242,0.94354,0.79323,1.06006,0.90124,0.68671,0.87356,0.91008,0.78736,0.85100
2020,1.23058,0.82865,0.91118,1.00179,1.16710,1.61292,1.10310,1.05374,1.03964,1.54333,0.99357,0.91509,0.80040,0.90891,0.67426,1.03314,1.08987,0.68947,0.95191,0.86758,0.99273,1.01448
2021,1.30223,0.70693,0.93815,1.17923,1.03428,1.65257,1.03350,1.14683,1.01301,1.48728,0.93171,1.18329,1.03258,1.03794,0.39898,1.17593,0.86896,0.75842,0.92425,0.95484,1.12462,0.63410
2022,1.04136,0.80886,0.82875,1.26189,0.96816,1.80098,0.95154,1.17428,0.98244,1.59251,0.85337,1.17649,1.07621,1.05337,0.41305,1.24471,1.11506,0.83410,0.86031,0.89455,0.91369,0.61761
2023,1.23696,1.00648,0.80608,1.24551,1.17782,1.75399,1.09671,1.08292,1.08187,1.63180,1.02033,1.00952,1.06869,1.17436,0.59613,1.22563,1.30868,0.78961,0.73461,0.80775,0.84971,0.78381
2024,1.06610,1.19923,0.97298,1.09604,1.26007,1.82135,1.02187,1.15194,1.24128,1.49741,1.06803,1.13287,1.13353,1.22664,0.86580,1.39855,1.23455,0.85235,0.80863,0.64687,0.91283,0.98207
2025,1.07745,1.00783,0.91518,1.13013,1.26627,1.74509,1.11183,1.30732,1.20343,1.67516,1.25636,1.16449,1.07977,1.23137,0.93338,1.39451,1.23986,0.93734,0.90454,0.74836,1.09895,1.05437
2026,1.04679,0.82397,0.93867,1.37779,1.27263,1.86881,1.24254,1.21956,1.22130,1.75985,1.19370,1.06572,1.01987,0.96256,0.79127,1.26184,1.23984,0.87388,1.01525,0.73175,1.07808,0.79447
2027,1.36315,0.89309,1.08736,1.39753,1.14488,1.96709,1.09024,1.29442,1.32358,1.87773,1.08965,1.25167,0.94612,0.91144,0.85451,1.41681,1.42839,0.80201,0.88333,0.80258,0.93239,0.70984
2028,1.43548,1.22676,1.09935,1.01311,1.30731,2.03117,1.05849,1.29372,1.41271,1.88022,1.17433,1.16943,1.05082,1.06420,1.08861,1.52287,1.29210,0.88853,0.93965,0.96091,0.99368,0.82366
2029,1.25482,1.34764,1.10145,1.03898,1.24119,1.82744,1.24695,1.31020,1.36005,1.74329,0.99547,0.95526,0.91683,1.09027,1.12352,1.59427,1.17190,0.92465,1.08688,0.85420,1.16550,0.98774
2030,1.16335,0.95518,1.05348,1.09469,1.27967,1.84255,1.00892,1.39764,1.36609,1.81182,1.02501,0.95310,1.04179,1.30753,0.73741,1.53298,1.32530,0.96628,1.25196,0.94170,1.13321,1.31404
2031,1.22884,0.94836,1.08299,1.19977,1.40460,1.99101,1.18501,1.42948,1.56825,1.86168,1.20604,1.29666,0.86936,1.35018,0.84032,1.47824,1.39503,0.93176,1.30746,0.54607,1.12651,1.22235
2032,1.47211,1.00359,1.03874,1.20365,1.41759,1.94674,1.20638,1.47961,1.66248,1.90588,1.08387,1.17651,1.00805,1.27248,0.83903,1.45206,1.29854,1.06988,1.03932,0.77847,1.02974,0.84687
2033,1.47579,1.29325,1.15488,1.27334,1.48494,2.06896,1.10171,1.44505,1.58743,1.84548,0.81993,1.23042,0.99299,1.44875,1.16275,1.59488,1.34780,0.98503,0.78857,0.78818,1.21964,0.70671
2034,1.58474,1.47326,1.25782,1.16791,1.53427,2.27212,1.22483,1.46873,1.67637,2.01630,0.86480,1.29076,0.89896,1.41203,1.35851,1.43764,1.44078,1.00353,0.80455,0.84440,1.23591,0.85592
2035,1.49773,1.11578,1.22188,1.35283,1.46228,2.13439,1.29205,1.59306,1.80154,2.13440,0.92756,1.13646,0.88915,1.47139,1.14177,1.66554,1.36102,1.01908,1.07170,0.88032,1.03833,0.98292
2036,1.73381,1.00433,1.20388,1.42605,1.41539,2.29732,1.24743,1.66344,1.81171,2.07398,1.03246,1.27331,1.16438,1.32660,1.32540,1.61204,1.44756,1.01313,1.24640,0.85861,1.09924,1.14361
2037,2.00473,1.16096,1.25269,1.43416,1.50150,2.31578,1.15364,1.53740,1.64740,2.04255,1.21515,1.19545,1.12328,1.55220,1.53466,1.65989,1.38591,1.05296,1.06350,0.99691,1.24027,1.40128
2038,1.77837,1.50589,1.22525,1.43877,1.39246,2.27571,1.32365,1.65897,1.71454,2.01346,1.21188,1.02897,0.99591,1.61902,1.55432,1.77334,1.34499,1.08727,1.13191,1.02346,1.11956,1.02452
2039,1.55085,1.43157,1.26043,1.66896,1.49262,2.22528,1.40065,1.64557,1.83338,2.21792,1.04633,1.15452,1.23417,1.51474,1.19445,1.75966,1.53558,1.15020,1.03876,0.85230,1.11265,0.91868
2040,1.61618,1.17622,1.22421,1.32057,1.58966,2.22135,1.22498,1.58134,1.79782,2.09094,1.18829,1.27929,1.20674,1.25302,1.24101,1.82744,1.47122,1.06241,1.00000,0.88091,1.06502,0.96098
2041,1.78726,1.09713,1.19890,1.29555,1.47549,2.26481,1.39371,1.75835,2.02142,2.00413,1.29387,1.15556,1.02895,1.42353,1.44161,1.77458,1.55071,0.92069,1.26293,1.04521,1.27426,1.06639
2042,1.75148,1.38107,1.15723,1.50714,1.46690,2.37920,1.34902,1.74030,1.97493,2.09055,1.28622,1.31571,1.14749,1.56172,1.45435,1.90200,1.31184,0.95068,1.33334,1.07125,1.25703,1.10473
2043,1.76163,1.70611,1.23033,1.64925,1.51032,2.46952,1.50793,1.72818,1.97051,2.12931,1.54218,1.40613,1.17884,1.44696,1.30829,2.05650,1.50837,1.14840,1.12200,1.10536,1.26787,1.22495
2044,1.88063,1.43713,1.26235,1.51021,1.58910,2.47057,1.26129,1.76575,2.04235,2.19368,1.47208,1.41717,1.13833,1.61554,1.35092,1.95178,1.53577,1.08753,1.20792,0.88718,1.10976,1.04221
2045,1.97071,1.25676,1.23832,1.45814,1.61074,2.55371,1.39503,1.77941,2.06227,2.12380,1.19540,1.34291,1.13985,1.63949,1.56183,2.00078,1.44993,1.11260,1.23833,1.14534,1.20448,1.20633
2046,1.87773,1.36986,1.26188,1.72273,1.38866,2.58478,1.45693,1.86942,2.09974,2.14794,1.26224,1.47719,1.09137,1.54638,1.80526,2.05107,1.59858,1.17406,1.19258,1.02550,1.32686,1.51916
2047,1.94465,1.63610,1.23405,1.47389,1.42530,2.48767,1.36054,1.78832,2.12987,2.28213,1.36704,1.36102,1.00481,1.72087,1.76196,2.15902,1.42335,1.14695,1.25059,1.12050,1.22222,1.12449
2048,2.16642,1.39160,1.29067,1.48796,1.64338,2.33952,1.48307,1.81396,2.02490,2.31447,1.26433,1.58779,1.08756,1.75495,1.66127,2.14403,1.62590,1.16969,1.29970,1.02405,1.19485,1.09119
2049,2.15073,1.40831,1.19567,1.63893,1.52166,2.37158,1.42910,1.87692,2.28444,2.30832,1.28602,1.37503,1.07314,1.76289,1.97813,2.13117,1.62702,1.16475,1.28574,1.17720,1.34301,1.16112
