Year,IPSL_IPSL-CM5A2-INCA_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,INM_INM-CM5-0_r1i1p1f1,AWI_AWI-CM-1-1-MR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,KIOST_KIOST-ESM_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,MOHC_HadGEM3-GC31-MM_r1i1p1f3,MOHC_HadGEM3-GC31-LL_r1i1p1f3,NCC_NorESM2-MM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CAS_FGOALS-g3_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,INM_INM-CM4-8_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,MIROC_MIROC6_r1i1p1f1
1866,-0.88678,-0.08093,-0.30065,-0.34620,-0.24410,0.15835,-0.71558,-0.66478,0.05136,0.23899,0.34204,-0.07236,-0.18886,-0.29230,-0.22782,-0.19614,-0.24043,-0.41529,-0.33915,-0.43935,-0.07420,-0.38392
1867,-0.87182,-0.34837,-0.31260,-0.42043,-0.27181,0.18166,-0.42947,-0.77066,0.15046,0.14195,0.30366,-0.00101,-0.23090,-0.43724,-0.15943,-0.09485,-0.24604,-0.33942,-0.29171,-0.55762,-0.11113,-0.29659
1868,-0.62656,-0.20605,-0.30096,-0.41658,-0.16799,0.14024,-0.34129,-0.72406,0.04097,-0.00711,-0.04465,-0.12509,-0.18288,-0.57837,-0.18766,-0.23856,-0.28743,-0.42087,-0.37707,-0.49433,-0.18299,-0.09694
1869,-0.48047,-0.12951,-0.23251,-0.24725,-0.30295,-0.03988,-0.51299,-0.68755,-0.16382,0.02175,-0.07408,-0.00473,-0.32463,-0.63496,-0.50640,-0.18303,-0.22081,-0.39583,-0.36286,-0.37311,-0.16571,0.04358
1870,-0.66533,-0.15437,-0.22940,-0.29327,-0.27003,-0.14566,-0.44415,-0.66891,-0.23664,0.12774,-0.14167,-0.05119,-0.28169,-0.50962,-0.65712,-0.11851,-0.22442,-0.33128,-0.19450,-0.42178,-0.12946,-0.11722
1871,-0.64401,0.00884,-0.32708,-0.54657,-0.18572,0.03328,-0.36111,-0.67211,-0.11063,0.14057,-0.02231,0.06103,-0.27651,-0.42226,-0.37379,-0.06729,-0.24132,-0.26754,-0.26653,-0.22631,-0.13096,-0.11519
1872,-0.51440,0.16500,-0.27793,-0.53096,-0.35105,0.30747,-0.55918,-0.73238,0.07226,0.05498,0.02366,-0.06315,-0.29755,-0.31130,-0.32959,0.05492,-0.28291,-0.25939,-0.30843,-0.51005,-0.07648,-0.15400
1873,-0.67887,-0.12859,-0.29796,-0.45467,-0.45306,0.34448,-0.26013,-0.69477,-0.14545,-0.09289,0.01239,-0.00790,-0.39458,-0.31192,-0.29199,-0.22570,-0.36536,-0.32016,-0.32575,-0.62766,-0.18344,-0.06037
1874,-0.42481,-0.18044,-0.40857,-0.48435,-0.34842,0.14211,-0.47000,-0.69780,-0.27656,-0.12908,0.27231,-0.17398,-0.53326,-0.40217,-0.33835,-0.03147,-0.21847,-0.33099,-0.43863,-0.64788,-0.07578,0.01079
1875,-0.56699,0.07962,-0.33894,-0.41433,-0.12151,0.10651,-0.51376,-0.58067,-0.07046,0.00764,0.16687,-0.15040,-0.40184,-0.49630,-0.54286,-0.07363,-0.43386,-0.24047,-0.51093,-0.37924,-0.07583,-0.21354
1876,-0.48375,0.23492,-0.31722,-0.35103,-0.18540,0.14152,-0.38856,-0.67702,-0.01975,0.07309,0.00124,-0.11500,-0.41725,-0.37880,-0.49796,-0.12025,-0.28137,-0.31766,-0.49283,-0.61684,-0.17662,-0.16767
1877,-0.65428,0.01422,-0.14918,-0.55030,-0.11683,0.27244,-0.63772,-0.67005,0.02714,0.02216,0.23450,-0.00019,-0.37056,-0.36819,-0.38709,-0.01696,-0.10129,-0.39518,-0.41901,-0.45118,-0.15969,-0.27723
1878,-0.80270,-0.17333,-0.27147,-0.65877,-0.10491,0.40945,-0.42191,-0.68090,-0.17135,0.01968,0.06452,0.01979,-0.42179,-0.47740,-0.41333,-0.07364,-0.34395,-0.46306,-0.36725,-0.58172,-0.15565,-0.22313
1879,-0.79636,-0.18383,-0.43755,-0.56297,-0.21907,0.22364,-0.36102,-0.64975,-0.26459,0.02966,-0.05652,-0.24204,-0.40789,-0.54970,-0.55050,-0.11629,-0.18428,-0.40265,-0.27629,-0.49086,0.01200,-0.15678
1880,-0.74769,-0.18717,-0.31212,-0.35008,-0.13859,0.22695,-0.39984,-0.51115,-0.25547,0.10910,-0.04085,-0.19005,-0.32036,-0.46723,-0.70826,-0.16495,-0.12747,-0.38507,-0.36706,-0.53260,-0.14141,-0.16865
1881,-0.63023,-0.15716,-0.31746,-0.44977,-0.08853,0.14770,-0.55726,-0.71462,-0.10509,0.01352,0.26677,0.04388,-0.44826,-0.56481,-0.60825,-0.11658,-0.23652,-0.34427,-0.41397,-0.54195,-0.18194,-0.20665
1882,-0.54879,-0.01608,-0.27725,-0.55928,-0.03908,0.22397,-0.43019,-0.53480,-0.23080,-0.04605,0.14094,-0.09787,-0.35609,-0.72122,-0.50241,-0.06966,-0.18505,-0.22591,-0.43315,-0.53763,-0.26541,-0.15640
1883,-0.55423,-0.13569,-0.27426,-0.52133,-0.22394,0.27427,-0.34715,-0.54189,-0.20979,-0.01385,-0.18339,0.01252,-0.39224,-0.80983,-0.49714,-0.16411,-0.15860,-0.34238,-0.35690,-0.61515,-0.16421,-0.03704
1884,-0.88184,-0.47869,-0.61432,-0.79652,-0.30467,-0.02647,-0.78598,-0.76296,-0.45458,-0.23660,-0.47484,-0.30055,-0.56963,-0.95872,-1.02164,-0.52351,-0.57434,-0.68359,-0.65304,-0.72235,-0.51712,-0.40549
1885,-0.75719,-0.53288,-0.62864,-0.70126,-0.41550,-0.06922,-0.93642,-0.81052,-0.44491,-0.23324,-0.50879,-0.23070,-0.48109,-0.88216,-1.01658,-0.46159,-0.35402,-0.58255,-0.60284,-0.58381,-0.46606,-0.45249
1886,-0.74910,-0.41671,-0.47237,-0.53928,-0.26122,0.00734,-0.72029,-0.57862,-0.40208,-0.13118,-0.23584,-0.27998,-0.41890,-0.74421,-0.81536,-0.45425,-0.29915,-0.43719,-0.47538,-0.65740,-0.37182,-0.34972
1887,-0.75346,-0.22342,-0.58260,-0.58496,-0.29874,0.10173,-0.63460,-0.50812,-0.34210,-0.10317,-0.14891,-0.27221,-0.38347,-0.80179,-0.67660,-0.29933,-0.41774,-0.39880,-0.49618,-0.49940,-0.30988,-0.31139
1888,-0.70158,-0.15994,-0.45161,-0.50140,-0.26255,0.26351,-0.62073,-0.36696,-0.27176,-0.03833,-0.02075,-0.25418,-0.43762,-0.79936,-0.56003,-0.28350,-0.33684,-0.35444,-0.37119,-0.31381,-0.08174,-0.10341
1889,-0.75905,-0.36053,-0.29837,-0.34806,-0.26364,0.21605,-0.69639,-0.50859,-0.20092,-0.05190,-0.00450,-0.48755,-0.38752,-0.80932,-0.62050,-0.24454,-0.40455,-0.38923,-0.18017,-0.36690,-0.01709,-0.24626
1890,-0.72766,-0.47214,-0.41286,-0.40207,-0.25839,0.17650,-0.72692,-0.57021,-0.24471,-0.00569,-0.18520,-0.26636,-0.39003,-0.59011,-0.79979,-0.19049,-0.46028,-0.30451,-0.20622,-0.30357,-0.10705,-0.32569
1891,-0.67609,-0.44687,-0.40275,-0.49040,-0.10399,0.38204,-0.74254,-0.59598,-0.17847,0.03522,-0.21593,-0.27771,-0.31856,-0.73154,-0.71098,-0.22454,-0.41828,-0.38239,-0.44318,-0.45823,-0.08862,-0.23772
1892,-0.84659,-0.20158,-0.26861,-0.44769,-0.11558,0.36977,-0.59147,-0.52981,-0.26661,-0.10950,-0.08509,-0.43443,-0.31724,-0.51926,-0.65887,-0.38015,-0.37116,-0.46470,-0.49545,-0.30229,-0.09018,-0.23268
1893,-0.67963,-0.16518,-0.25830,-0.49774,-0.13577,0.07768,-0.77660,-0.49754,-0.15649,-0.04427,-0.20513,-0.19447,-0.30303,-0.71504,-0.84877,-0.21051,-0.22799,-0.36079,-0.30220,-0.34333,-0.03501,-0.16156
1894,-0.44836,-0.41709,-0.34907,-0.41377,-0.08062,0.13835,-0.55152,-0.55965,-0.20210,0.06222,-0.07574,-0.06638,-0.25233,-0.55613,-0.84521,-0.13724,-0.18291,-0.36650,-0.40547,-0.20961,-0.01884,-0.13359
1895,-0.50906,-0.41474,-0.32422,-0.45901,0.04961,0.20846,-0.57465,-0.47970,-0.19420,-0.06960,-0.13905,-0.26321,-0.41136,-0.43227,-0.78535,-0.11614,-0.34197,-0.34290,-0.35084,-0.41223,0.01955,-0.20318
1896,-0.47807,-0.34004,-0.31887,-0.38243,0.04908,0.28284,-0.43481,-0.62932,-0.07595,0.05873,-0.05842,-0.36914,-0.48292,-0.63717,-0.59161,-0.06985,-0.36397,-0.32992,-0.28507,-0.45342,0.09409,-0.18154
1897,-0.40204,-0.11103,-0.30479,-0.31635,-0.05917,0.15303,-0.39687,-0.62594,-0.08728,0.09743,-0.00724,-0.29520,-0.31010,-0.57019,-0.41139,-0.01463,-0.26848,-0.16867,-0.18307,-0.47487,0.05995,-0.13033
